"","X2","X.1","Entry","X","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage","V2"
"1","lcl|NW_011934501.1_cds_XP_011426503.1_1",336,"Q6AY59",3,"MOC2B_RAT","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Rattus norvegicus (Rat)",200,"","","","LOC105317034"
"2","lcl|NW_011934501.1_cds_XP_011426503.1_1",13,"A4FUY7",2,"MOC2B_BOVIN","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Bos taurus (Bovine)",189,"","","","LOC105317034"
"3","lcl|NW_011934501.1_cds_XP_011426503.1_1",547,"Q9Z223",1,"MOC2B_MOUSE","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Mus musculus (Mouse)",189,"","","","LOC105317034"
"4","lcl|NW_011934501.1_cds_XP_011426503.1_1",67,"O96007",4,"MOC2B_HUMAN","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MOCO1-B) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B) (Molybdopterin-synthase large subunit) (MPT synthase large subunit)","MOCS2 MCBPE MOCO1","Homo sapiens (Human)",188,"TISSUE SPECIFICITY: Highest levels are found in heart and skeletal muscle. Lower levels are present in brain, kidney and pancreas. Very low levels are found in lung and peripheral blood leukocytes. {ECO:0000269|PubMed:10053003}.","","","LOC105317034"
"5","lcl|NW_011934501.1_cds_XP_011426503.1_1",294,"Q5RA61",5,"MOC2B_PONAB","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",172,"","","","LOC105317034"
"6","lcl|NW_011934501.1_cds_XP_011434216.1_2",12,"A4FUY7",2,"MOC2B_BOVIN","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Bos taurus (Bovine)",189,"","","","LOC105317034"
"7","lcl|NW_011934501.1_cds_XP_011434216.1_2",295,"Q5RA61",5,"MOC2B_PONAB","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","MOCS2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",172,"","","","LOC105317034"
"8","lcl|NW_011934501.1_cds_XP_011434216.1_2",66,"O96007",4,"MOC2B_HUMAN","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MOCO1-B) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B) (Molybdopterin-synthase large subunit) (MPT synthase large subunit)","MOCS2 MCBPE MOCO1","Homo sapiens (Human)",188,"TISSUE SPECIFICITY: Highest levels are found in heart and skeletal muscle. Lower levels are present in brain, kidney and pancreas. Very low levels are found in lung and peripheral blood leukocytes. {ECO:0000269|PubMed:10053003}.","","","LOC105317034"
"9","lcl|NW_011934501.1_cds_XP_011434216.1_2",548,"Q9Z223",1,"MOC2B_MOUSE","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Mus musculus (Mouse)",189,"","","","LOC105317034"
"10","lcl|NW_011934501.1_cds_XP_011434216.1_2",337,"Q6AY59",3,"MOC2B_RAT","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Rattus norvegicus (Rat)",200,"","","","LOC105317034"
"11","lcl|NW_011934501.1_cds_XP_011445785.1_3",428,"Q9BUI4",6,"RPC3_HUMAN","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C) (RNA polymerase III 62 kDa subunit) (RPC62)","POLR3C","Homo sapiens (Human)",534,"","","","LOC105338483"
"12","lcl|NW_011934501.1_cds_XP_011445785.1_3",302,"Q5XIL3",7,"RPC3_RAT","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","Polr3c","Rattus norvegicus (Rat)",533,"","","","LOC105338483"
"13","lcl|NW_011934501.1_cds_XP_011445785.1_3",260,"Q2TBL4",9,"RPC3_BOVIN","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","POLR3C","Bos taurus (Bovine)",533,"","","","LOC105338483"
"14","lcl|NW_011934501.1_cds_XP_011445785.1_3",430,"Q9D483",8,"RPC3_MOUSE","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","Polr3c","Mus musculus (Mouse)",533,"","","","LOC105338483"
"15","lcl|NW_011934501.1_cds_XP_011445785.1_3",349,"Q7ZUX1",10,"RPC3_DANRE","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C)","polr3c zgc:56348","Danio rerio (Zebrafish) (Brachydanio rerio)",539,"","","","LOC105338483"
"16","lcl|NW_011934512.1_cds_XP_011426108.1_6",103,"P22984",11,"AMID_RHOER","reviewed","Amidase (EC 3.5.1.4)","amdA","Rhodococcus erythropolis (Arthrobacter picolinophilus)",521,"","","","LOC105327114"
"17","lcl|NW_011934512.1_cds_XP_011426108.1_6",30,"C4L690",15,"GATA_EXISA","reviewed","Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)","gatA EAT1b_0993","Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)",480,"","","","LOC105327114"
"18","lcl|NW_011934512.1_cds_XP_011426108.1_6",161,"P84650",14,"AMID_RHORH","reviewed","Enantioselective amidase (EC 3.5.1.4)","amdA","Rhodococcus rhodochrous",517,"","INDUCTION: By aromatic and aliphatic amides. {ECO:0000269|Ref.1}.","","LOC105327114"
"19","lcl|NW_011934512.1_cds_XP_011426108.1_6",112,"P27765",13,"AMID_PSECL","reviewed","Amidase (EC 3.5.1.4)","","Pseudomonas chlororaphis (Pseudomonas aureofaciens)",506,"","","","LOC105327114"
"20","lcl|NW_011934512.1_cds_XP_011426108.1_6",164,"P95896",12,"AMID_SACS2","reviewed","Amidase (EC 3.5.1.4)","SSO2122 C02016 C02_017","Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)",504,"","","","LOC105327114"
"21","lcl|NW_011934514.1_cds_XP_011427256.2_7",504,"Q9U8W7",16,"TL5B_TACTR","reviewed","Techylectin-5B","","Tachypleus tridentatus (Japanese horseshoe crab)",316,"TISSUE SPECIFICITY: Hemocytes. {ECO:0000269|PubMed:10468566}.","","","LOC105327903"
"22","lcl|NW_011934514.1_cds_XP_011427256.2_7",285,"Q5M8C6",17,"FGL1_RAT","reviewed","Fibrinogen-like protein 1","Fgl1","Rattus norvegicus (Rat)",314,"","","","LOC105327903"
"23","lcl|NW_011934514.1_cds_XP_011427256.2_7",215,"Q08830",18,"FGL1_HUMAN","reviewed","Fibrinogen-like protein 1 (HP-041) (Hepassocin) (HPS) (Hepatocyte-derived fibrinogen-related protein 1) (HFREP-1) (Liver fibrinogen-related protein 1) (LFIRE-1)","FGL1 HFREP1","Homo sapiens (Human)",312,"TISSUE SPECIFICITY: Under normal conditions, liver-specific. {ECO:0000269|PubMed:11470158}.","INDUCTION: Expression is induced by interleukin-6 (IL6) (PubMed:18039467). Up-regulated in a number of cancers, such as lung cancer, prostate cancer, melanoma and colorectal cancer (PubMed:30580966). {ECO:0000269|PubMed:18039467, ECO:0000269|PubMed:30580966}.","","LOC105327903"
"24","lcl|NW_011934514.1_cds_XP_011427256.2_7",135,"P57756",19,"FCN2_RAT","reviewed","Ficolin-2 (Collagen/fibrinogen domain-containing protein 2) (Ficolin-B) (Ficolin-beta) (L-ficolin)","Fcn2 Fcnb","Rattus norvegicus (Rat)",319,"","","","LOC105327903"
"25","lcl|NW_011934514.1_cds_XP_011427256.2_7",39,"O00602",20,"FCN1_HUMAN","reviewed","Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)","FCN1 FCNM","Homo sapiens (Human)",326,"TISSUE SPECIFICITY: Peripheral blood leukocytes, monocytes and granulocytes. Also detected in spleen, lung, and thymus, may be due to the presence of tissue macrophages or trapped blood in these tissues. Not detected on lymphocytes. {ECO:0000269|PubMed:20400674}.","","","LOC105327903"
"26","lcl|NW_011934516.1_cds_XP_011428421.2_8",332,"Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"27","lcl|NW_011934516.1_cds_XP_011428421.2_8",249,"Q21944",21,"GLPK_CAEEL","reviewed","Probable glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","R11F4.1","Caenorhabditis elegans",502,"","","","LOC105328737"
"28","lcl|NW_011934516.1_cds_XP_011428421.2_8",220,"Q0IID9",22,"GLPK_BOVIN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Bos taurus (Bovine)",559,"","","","LOC105328737"
"29","lcl|NW_011934516.1_cds_XP_011428421.2_8",327,"Q63060",23,"GLPK_RAT","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP-stimulated glucocorticoid-receptor translocation promoter) (ASTP) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Rattus norvegicus (Rat)",524,"","","","LOC105328737"
"30","lcl|NW_011934516.1_cds_XP_011428421.2_8",229,"Q14409",25,"GLPK3_HUMAN","reviewed","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)","GK3P GKP3 GKTB","Homo sapiens (Human)",553,"","","","LOC105328737"
"31","lcl|NW_011934516.1_cds_XP_019923453.1_9",326,"Q63060",23,"GLPK_RAT","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP-stimulated glucocorticoid-receptor translocation promoter) (ASTP) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Rattus norvegicus (Rat)",524,"","","","LOC105328737"
"32","lcl|NW_011934516.1_cds_XP_019923453.1_9",228,"Q14409",25,"GLPK3_HUMAN","reviewed","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)","GK3P GKP3 GKTB","Homo sapiens (Human)",553,"","","","LOC105328737"
"33","lcl|NW_011934516.1_cds_XP_019923453.1_9",218,"Q0IID9",22,"GLPK_BOVIN","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","GK","Bos taurus (Bovine)",559,"","","","LOC105328737"
"34","lcl|NW_011934516.1_cds_XP_019923453.1_9",330,"Q64516",24,"GLPK_MOUSE","reviewed","Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","Gk Gyk","Mus musculus (Mouse)",559,"","","","LOC105328737"
"35","lcl|NW_011934516.1_cds_XP_019923453.1_9",252,"Q21944",21,"GLPK_CAEEL","reviewed","Probable glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","R11F4.1","Caenorhabditis elegans",502,"","","","LOC105328737"
"36","lcl|NW_011934516.1_cds_XP_019923670.1_10",232,"Q14409",25,"GLPK3_HUMAN","reviewed","Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)","GK3P GKP3 GKTB","Homo sapiens (Human)",553,"","","","LOC105328737"
"37","lcl|NW_011934516.1_cds_XP_019923670.1_10",253,"Q21944",21,"GLPK_CAEEL","reviewed","Probable glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)","R11F4.1","Caenorhabditis elegans",502,"","","","LOC105328737"
