"","X.x","Entry","X.y","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Tissue.specificity","Induction","Developmental.stage","V2"
"1","lcl|NW_011934501.1_cds_XP_011426503.1_1","Q6AY59",3,"MOC2B_RAT","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Rattus norvegicus (Rat)",200,"","","","LOC105317034"
"10","lcl|NW_011934501.1_cds_XP_011434216.1_2","Q6AY59",3,"MOC2B_RAT","reviewed","Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)","Mocs2","Rattus norvegicus (Rat)",200,"","","","LOC105317034"
"100","lcl|NW_011934530.1_cds_XP_011440784.1_24","P22031",56,"LEG_HELCR","reviewed","D-galactoside-specific lectin (Sea urchin egg lectin) (SUEL)","","Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)",105,"","","","LOC105336849"
"101","lcl|NW_011934530.1_cds_XP_011440784.1_24","C0HK24",58,"ELEL_ECHLU","reviewed","L-rhamnose-binding lectin ELEL-1","","Echinometra lucunter (Rock-boring urchin)",103,"","","","LOC105336849"
"102","lcl|NW_011934530.1_cds_XP_011440784.1_24","P86179",59,"CSL3_ONCKE","reviewed","L-rhamnose-binding lectin CSL3","","Oncorhynchus keta (Chum salmon) (Salmo keta)",195,"","","","LOC105336849"
"103","lcl|NW_011934530.1_cds_XP_011440784.1_24","C0HK23",57,"SML_SCONI","reviewed","L-rhamnose-binding lectin SML","","Scomberomorus niphonius (Japanese Spanish mackerel) (Cybium niphonium)",201,"","","","LOC105336849"
"104","lcl|NW_011934530.1_cds_XP_011441541.1_23","P86179",59,"CSL3_ONCKE","reviewed","L-rhamnose-binding lectin CSL3","","Oncorhynchus keta (Chum salmon) (Salmo keta)",195,"","","","LOC105336849"
"105","lcl|NW_011934530.1_cds_XP_011441541.1_23","C0HK23",57,"SML_SCONI","reviewed","L-rhamnose-binding lectin SML","","Scomberomorus niphonius (Japanese Spanish mackerel) (Cybium niphonium)",201,"","","","LOC105336849"
"106","lcl|NW_011934530.1_cds_XP_011441541.1_23","C0HK24",58,"ELEL_ECHLU","reviewed","L-rhamnose-binding lectin ELEL-1","","Echinometra lucunter (Rock-boring urchin)",103,"","","","LOC105336849"
"107","lcl|NW_011934530.1_cds_XP_011441541.1_23","P22031",56,"LEG_HELCR","reviewed","D-galactoside-specific lectin (Sea urchin egg lectin) (SUEL)","","Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)",105,"","","","LOC105336849"
"108","lcl|NW_011934530.1_cds_XP_011441541.1_23","Q9PVW8",60,"SAL_SILAS","reviewed","Rhamnose-binding lectin (RBL) (Roe lectin) (SAL)","","Silurus asotus (Amur catfish) (Parasilurus asotus)",308,"TISSUE SPECIFICITY: Expressed in eggs, but not in liver.","","","LOC105336849"
"109","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06868",51,"PLMN_BOVIN","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Bos taurus (Bovine)",812,"","","","LOC105339572"
"11","lcl|NW_011934501.1_cds_XP_011445785.1_3","Q9BUI4",6,"RPC3_HUMAN","reviewed","DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C) (RNA polymerase III 62 kDa subunit) (RPC62)","POLR3C","Homo sapiens (Human)",534,"","","","LOC105338483"
"110","lcl|NW_011934530.1_cds_XP_011443863.1_22","P20918",55,"PLMN_MOUSE","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Mus musculus (Mouse)",812,"","","","LOC105339572"
"111","lcl|NW_011934530.1_cds_XP_011443863.1_22","P06868",51,"PLMN_BOVIN","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Bos taurus (Bovine)",812,"","","","LOC105339572"
"112","lcl|NW_011934530.1_cds_XP_011443863.1_22","Q5R8X6",53,"PLMN_PONAB","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]","PLG","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",810,"","","","LOC105339572"
"113","lcl|NW_011934530.1_cds_XP_011443863.1_22","P20918",55,"PLMN_MOUSE","reviewed","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","Plg","Mus musculus (Mouse)",812,"","","","LOC105339572"
